# ClimaYears    WeightMetricValue
1980    581.60
1981    344.00
1982    577.50
1983    307.60
1984    499.20
1985    605.30
1986    298.90
1987    489.60
1988    526.80
1989    561.50
1990    528.90
1991    486.30
1992    395.20
1993    646.10
1994    434.90
1995    737.90
1996    690.60
1997    531.80
1998    495.50
1999    683.00
2000    587.80
2001    491.30
2002    537.50
2003    581.60
2004    645.70
2005    534.90
2006    556.80
2007    411.80
2008    807.70
2009    567.00
