# ClimaYears    MetricValue
1980    2113.00
1981    1891.00
1982    1944.00
1983    1642.00
1984    1728.00
1985    2242.00
1986    2093.00
1987    1986.00
1988    1894.00
1989    1978.00
1990    1837.00
1991    1891.00
1992    1982.00
1993    1826.00
1994    1809.00
1995    1690.00
1996    1836.00
1997    1885.00
1998    1809.00
1999    2091.00
2000    1876.00
2001    1767.00
2002    1958.00
2003    1838.00
2004    1779.00
2005    1768.00
2006    1694.00
2007    1803.00
2008    1558.00
2009    1713.00
